Id,Designator,Package,Quantity,Designation,Supplier and ref
1,U2,ESP-12E_SMD,1,ESP-12E,
2,C1,CP_Tantalum_Case-B_EIA-3528-21_Hand,1,10uF,
3,C2,C_0603_HandSoldering,1,100nF,
4,CON1,Barrel_Jack_CUI_PJ-102AH,1,POWER_IN,
5,DS1,Pin_Header_Straight_1x16_Pitch2.54mm,1,LCD-016N002L,
6,P1,Pin_Header_Straight_1x03,1,PROGRAMMING_HEADER,
7,R1,R_0805_HandSoldering,1,10K,
8,R2,R_0805_HandSoldering,1,47R,
9,RV1,Potentiometer_Trimmer_ACP_CA6v_Horizontal,1,10K,
10,U1,SOT-223-3_TabPin2,1,LD1117S33TR,
11,SW1,SW_SPST_TL3342,1,RESET,
12,JP1,Pin_Header_Straight_1x03_Pitch2.54mm,1,Jumper,
13,U3,Pin_Header_Straight_1x04_Pitch2.54mm,1,DHT11,
